seed,condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine,variance,batch_variance,sigma,num_batches
7,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.6133014559745789,0.05660900706425309,0.00022326681755657773,0.1,8
7,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.6052222326397896,0.055444369092583656,0.0002433770932839252,0.3,8
7,scaled,"[-5, 5]",5.0,120,wp,WP,0.44630381651222706,0.05863653915002942,0.00029887536220485345,0.225,8
7,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.7631921395659447,0.006078060425352305,5.225223185334471e-05,0.15,8
7,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.49872545525431633,0.04969942709431052,0.00023087922909326153,0.1,8
7,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.5276093976572156,0.04962622094899416,0.00019718200201168656,0.3,8
7,scaled,"[-5, 5]",5.0,240,wp,WP,0.42007332295179367,0.06618399173021317,0.0003671019439934753,0.225,8
8,base,"[-1, 1]",1.0,1,np,IS-NP,0.8806295692920685,0.01123602653387934,5.4682293466612464e-05,0.15,8
8,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.9234752207994461,0.011353434878401458,4.941278348269407e-05,0.1,8
8,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.8880188167095184,0.011211064760573208,4.590794787873165e-05,0.3,8
8,base,"[-1, 1]",1.0,1,wp,WP,0.6570208333432674,0.07899459172040224,0.00035081187161267735,0.225,8
8,base,"[-1, 1]",1.0,120,np,IS-NP,0.8371763750910759,0.005321788426954299,2.7121302537125302e-05,0.15,8
8,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.7854077368974686,0.006277317006606609,3.133890527351468e-05,0.1,8
8,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.7595021277666092,0.006349359289743006,3.847951938951155e-05,0.3,8
8,base,"[-1, 1]",1.0,120,wp,WP,0.5660180784761906,0.055132556706666946,0.0002534167651901953,0.225,8
8,base,"[-1, 1]",1.0,240,np,IS-NP,0.7872288450598717,0.005424973496701568,3.319436268611753e-05,0.15,8
8,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.8368968516588211,0.006204928969964385,2.726925777096767e-05,0.1,8
8,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.8124147951602936,0.0063873291364870965,3.3141353696919396e-05,0.3,8
8,base,"[-1, 1]",1.0,240,wp,WP,0.5210236497223377,0.0543922483921051,0.00026686478850024287,0.225,8
8,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.8904521316289902,0.010993650532327592,5.3465396604224225e-05,0.15,8
8,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.6529702879488468,0.10695954598486423,0.0004625205147021916,0.1,8
8,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.600496843457222,0.10691681876778603,0.0004739874348160811,0.3,8
8,scaled,"[-5, 5]",5.0,1,wp,WP,0.658981915563345,0.0784141393378377,0.0003510342830850277,0.225,8
8,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8333897516131401,0.0054265239159576595,3.659773506115016e-05,0.15,8
